PLANNING_SELECTED,PRODUCT,BUDGET_GROUP,SALE_CHANNEL_GRP,CREATE_MONTH, LOSS_RATE_PJ , LA in Bio 
GOODBANK,CDL,NON PROMO NON-PORTABLE,3P-POS,01/12/2022, 0.029224 ," 203,338,000 "
GOODBANK,CDL,NON PROMO NON-PORTABLE,3P-POS,01/01/2023, 0.089103 ," 7,657,592,100 "
GOODBANK,CDL,NON PROMO NON-PORTABLE,3P-POS,01/02/2023, 0.123513 ," 5,869,528,000 "
GOODBANK,CDL,NON PROMO NON-PORTABLE,3P-POS,01/03/2023, 0.077010 ," 5,438,952,000 "
GOODBANK,CDL,NON PROMO NON-PORTABLE,3P-POS,01/04/2023, 0.044964 ," 8,123,915,100 "
GOODBANK,CDL,NON PROMO NON-PORTABLE,3P-POS,01/05/2023, 0.039409 ," 3,423,617,000 "
GOODBANK,CDL,NON PROMO NON-PORTABLE,IH-POS,01/12/2022, 0.107432 ," 135,330,000 "
GOODBANK,CDL,NON PROMO NON-PORTABLE,IH-POS,01/01/2023, 0.056351 ," 2,758,785,000 "
GOODBANK,CDL,NON PROMO NON-PORTABLE,IH-POS,01/02/2023, 0.054435 ," 1,514,217,000 "
GOODBANK,CDL,NON PROMO NON-PORTABLE,IH-POS,01/03/2023, 0.030652 ," 1,290,120,000 "
GOODBANK,CDL,NON PROMO NON-PORTABLE,IH-POS,01/04/2023, 0.041719 ," 1,450,024,000 "
GOODBANK,CDL,NON PROMO NON-PORTABLE,IH-POS,01/05/2023, -   ," 1,344,225,000 "
GOODBANK,CDL,NON PROMO PORTABLE,3P-POS,01/12/2022, 0.166353 ," 2,638,475,150 "
GOODBANK,CDL,NON PROMO PORTABLE,3P-POS,01/01/2023, 0.132804 ," 29,324,896,881 "
GOODBANK,CDL,NON PROMO PORTABLE,3P-POS,01/02/2023, 0.122520 ," 31,089,058,200 "
GOODBANK,CDL,NON PROMO PORTABLE,3P-POS,01/03/2023, 0.126135 ," 32,000,387,500 "
GOODBANK,CDL,NON PROMO PORTABLE,3P-POS,01/04/2023, 0.131035 ," 38,681,792,083 "
GOODBANK,CDL,NON PROMO PORTABLE,3P-POS,01/05/2023, 0.083507 ," 13,565,559,000 "
GOODBANK,CDL,NON PROMO PORTABLE,IH-POS,01/12/2022, 0.173441 ," 1,686,108,000 "
GOODBANK,CDL,NON PROMO PORTABLE,IH-POS,01/01/2023, 0.126227 ," 6,961,483,000 "
GOODBANK,CDL,NON PROMO PORTABLE,IH-POS,01/02/2023, 0.119846 ," 7,724,111,150 "
GOODBANK,CDL,NON PROMO PORTABLE,IH-POS,01/03/2023, 0.117437 ," 6,452,220,000 "
GOODBANK,CDL,NON PROMO PORTABLE,IH-POS,01/04/2023, 0.072537 ," 6,219,628,000 "
GOODBANK,CDL,NON PROMO PORTABLE,IH-POS,01/05/2023, 0.073996 ," 5,727,027,000 "
GOODBANK,CDL,PROMO NON-PORTABLE,3P-POS,01/12/2022, 0.017130 ," 21,074,894,886 "
GOODBANK,CDL,PROMO NON-PORTABLE,3P-POS,01/01/2023, 0.044019 ," 27,967,593,640 "
GOODBANK,CDL,PROMO NON-PORTABLE,3P-POS,01/02/2023, 0.048001 ," 13,417,790,130 "
GOODBANK,CDL,PROMO NON-PORTABLE,3P-POS,01/03/2023, 0.020751 ," 30,291,120,990 "
GOODBANK,CDL,PROMO NON-PORTABLE,3P-POS,01/04/2023, 0.011201 ," 61,177,466,441 "
GOODBANK,CDL,PROMO NON-PORTABLE,3P-POS,01/05/2023, 0.040241 ," 4,806,230,000 "
GOODBANK,CDL,PROMO NON-PORTABLE,IH-POS,01/12/2022, 0.080821 ," 1,153,565,360 "
GOODBANK,CDL,PROMO NON-PORTABLE,IH-POS,01/01/2023, 0.030268 ," 6,558,720,000 "
GOODBANK,CDL,PROMO NON-PORTABLE,IH-POS,01/02/2023, 0.054166 ," 2,099,439,000 "
GOODBANK,CDL,PROMO NON-PORTABLE,IH-POS,01/03/2023, 0.025092 ," 1,713,960,000 "
GOODBANK,CDL,PROMO NON-PORTABLE,IH-POS,01/04/2023, 0.022615 ," 2,164,197,000 "
GOODBANK,CDL,PROMO NON-PORTABLE,IH-POS,01/05/2023, 0.011246 ," 1,856,523,000 "
GOODBANK,CDL,PROMO PORTABLE,3P-POS,01/12/2022, 0.044848 ," 37,033,504,318 "
