PLANNING_SELECTED,PRODUCT,BUDGET_GROUP,SALE_CHANNEL_GRP,CREATE_MONTH,FPD10_PJ,LOSS_RATE_PJ,LA in Bio
GOODBANK,CDL,NON PROMO NON-PORTABLE,3P-POS,01/12/2022,0.0134,0.0292,0.2
GOODBANK,CDL,NON PROMO NON-PORTABLE,3P-POS,01/01/2023,0.0335,0.0891,7.7
GOODBANK,CDL,NON PROMO NON-PORTABLE,3P-POS,01/02/2023,0.0464,0.1235,5.9
GOODBANK,CDL,NON PROMO NON-PORTABLE,3P-POS,01/03/2023,0.0296,0.0770,5.4
GOODBANK,CDL,NON PROMO NON-PORTABLE,3P-POS,01/04/2023,0.0204,0.0450,8.1
GOODBANK,CDL,NON PROMO NON-PORTABLE,3P-POS,01/05/2023,0.0181,0.0394,3.4
GOODBANK,CDL,NON PROMO NON-PORTABLE,IH-POS,01/12/2022,0.0388,0.1074,0.1
GOODBANK,CDL,NON PROMO NON-PORTABLE,IH-POS,01/01/2023,0.0243,0.0564,2.8
GOODBANK,CDL,NON PROMO NON-PORTABLE,IH-POS,01/02/2023,0.0238,0.0544,1.5
GOODBANK,CDL,NON PROMO NON-PORTABLE,IH-POS,01/03/2023,0.0141,0.0307,1.3
GOODBANK,CDL,NON PROMO NON-PORTABLE,IH-POS,01/04/2023,0.0191,0.0417,1.5
GOODBANK,CDL,NON PROMO NON-PORTABLE,IH-POS,01/05/2023,0.0000,0.0000,1.3
GOODBANK,CDL,NON PROMO PORTABLE,3P-POS,01/12/2022,0.0774,0.1664,2.6
GOODBANK,CDL,NON PROMO PORTABLE,3P-POS,01/01/2023,0.0552,0.1328,29.3
GOODBANK,CDL,NON PROMO PORTABLE,3P-POS,01/02/2023,0.0458,0.1225,31.1
GOODBANK,CDL,NON PROMO PORTABLE,3P-POS,01/03/2023,0.0486,0.1261,32.0
GOODBANK,CDL,NON PROMO PORTABLE,3P-POS,01/04/2023,0.0533,0.1310,38.7
GOODBANK,CDL,NON PROMO PORTABLE,3P-POS,01/05/2023,0.0317,0.0835,13.6
GOODBANK,CDL,NON PROMO PORTABLE,IH-POS,01/12/2022,0.0846,0.1734,1.7
GOODBANK,CDL,NON PROMO PORTABLE,IH-POS,01/01/2023,0.0487,0.1262,7.0
GOODBANK,CDL,NON PROMO PORTABLE,IH-POS,01/02/2023,0.0443,0.1198,7.7
GOODBANK,CDL,NON PROMO PORTABLE,IH-POS,01/03/2023,0.0430,0.1174,6.5
GOODBANK,CDL,NON PROMO PORTABLE,IH-POS,01/04/2023,0.0283,0.0725,6.2
GOODBANK,CDL,NON PROMO PORTABLE,IH-POS,01/05/2023,0.0287,0.0740,5.7
GOODBANK,CDL,PROMO NON-PORTABLE,3P-POS,01/12/2022,0.0072,0.0171,21.1
GOODBANK,CDL,PROMO NON-PORTABLE,3P-POS,01/01/2023,0.0200,0.0440,28.0
GOODBANK,CDL,PROMO NON-PORTABLE,3P-POS,01/02/2023,0.0217,0.0480,13.4
GOODBANK,CDL,PROMO NON-PORTABLE,3P-POS,01/03/2023,0.0091,0.0208,30.3
GOODBANK,CDL,PROMO NON-PORTABLE,3P-POS,01/04/2023,0.0045,0.0112,61.2
GOODBANK,CDL,PROMO NON-PORTABLE,3P-POS,01/05/2023,0.0185,0.0402,4.8
GOODBANK,CDL,PROMO NON-PORTABLE,IH-POS,01/12/2022,0.0309,0.0808,1.2
GOODBANK,CDL,PROMO NON-PORTABLE,IH-POS,01/01/2023,0.0139,0.0303,6.6
GOODBANK,CDL,PROMO NON-PORTABLE,IH-POS,01/02/2023,0.0237,0.0542,2.1
GOODBANK,CDL,PROMO NON-PORTABLE,IH-POS,01/03/2023,0.0114,0.0251,1.7
GOODBANK,CDL,PROMO NON-PORTABLE,IH-POS,01/04/2023,0.0101,0.0226,2.2
GOODBANK,CDL,PROMO NON-PORTABLE,IH-POS,01/05/2023,0.0045,0.0112,1.9
GOODBANK,CDL,PROMO PORTABLE,3P-POS,01/12/2022,0.0204,0.0448,37.0
GOODBANK,CDL,PROMO PORTABLE,3P-POS,01/01/2023,0.0203,0.0445,79.3
GOODBANK,CDL,PROMO PORTABLE,3P-POS,01/02/2023,0.0195,0.0428,91.2
GOODBANK,CDL,PROMO PORTABLE,3P-POS,01/03/2023,0.0184,0.0400,123.8
GOODBANK,CDL,PROMO PORTABLE,3P-POS,01/04/2023,0.0173,0.0375,118.0
GOODBANK,CDL,PROMO PORTABLE,3P-POS,01/05/2023,0.0189,0.0414,18.0
GOODBANK,CDL,PROMO PORTABLE,IH-POS,01/12/2022,0.0317,0.0833,1.5
GOODBANK,CDL,PROMO PORTABLE,IH-POS,01/01/2023,0.0345,0.0923,4.7
GOODBANK,CDL,PROMO PORTABLE,IH-POS,01/02/2023,0.0231,0.0518,3.4
GOODBANK,CDL,PROMO PORTABLE,IH-POS,01/03/2023,0.0295,0.0765,2.9
GOODBANK,CDL,PROMO PORTABLE,IH-POS,01/04/2023,0.0129,0.0283,3.2
GOODBANK,CDL,PROMO PORTABLE,IH-POS,01/05/2023,0.0169,0.0365,2.5
GOODBANK,CRC,(blank),3P-DSA,01/12/2022,,,0.0
GOODBANK,CRC,(blank),3P-DSA,01/01/2023,0.0000,,0.0
GOODBANK,CRC,(blank),IH-DSA,01/12/2022,0.0843,,39.4
GOODBANK,CRC,(blank),IH-DSA,01/01/2023,0.0469,,3.9
GOODBANK,CRC,(blank),IH-TSA,01/12/2022,0.0278,,1.9
GOODBANK,CRC,(blank),IH-TSA,01/01/2023,,,0.1
GOODBANK,CRC,(blank),IH-TSA TR,01/12/2022,0.0000,,0.1
GOODBANK,CRC,(blank),Unidentified,01/01/2023,,,0.0
GOODBANK,CRC,STAFF,Digital,01/12/2022,0.0000,,0.0
GOODBANK,PLLG,LG HIGH SCORE,IH-TSA,01/12/2022,0.0599,0.2914,0.3
GOODBANK,PLLG,LG HIGH SCORE,IH-TSA,01/01/2023,0.0000,0.0000,0.1
GOODBANK,PLLG,LG HIGH SCORE,IH-TSA LG,01/12/2022,0.0468,0.2590,29.0
GOODBANK,PLLG,LG HIGH SCORE,IH-TSA LG,01/01/2023,0.0197,0.1646,15.3
GOODBANK,PLLG,LG HIGH SCORE,IH-TSA LG,01/02/2023,0.0443,0.2489,17.5
GOODBANK,PLLG,LG HIGH SCORE,IH-TSA LG,01/03/2023,0.0508,0.2669,13.4
GOODBANK,PLLG,LG HIGH SCORE,IH-TSA LG,01/04/2023,0.0474,0.2601,13.9
GOODBANK,PLLG,LG HIGH SCORE,IH-TSA LG,01/05/2023,0.0621,0.2986,12.9
GOODBANK,PLLG,LG LOW SCORE,IH-TSA LG,01/12/2022,0.0955,0.3466,0.2
GOODBANK,PLLG,LG LOW SCORE,IH-TSA LG,01/01/2023,0.0000,0.0000,0.0
GOODBANK,PLLG,LG LOW SCORE,IH-TSA LG,01/02/2023,0.2143,0.7023,2.4
GOODBANK,PLLG,LG LOW SCORE,IH-TSA LG,01/03/2023,0.1395,0.4572,6.7
GOODBANK,PLLG,LG LOW SCORE,IH-TSA LG,01/04/2023,0.1478,0.4844,5.6
GOODBANK,PLLG,LG LOW SCORE,IH-TSA LG,01/05/2023,0.1143,0.3830,5.7
GOODBANK,PLLG,LG MED SCORE,IH-TSA,01/01/2023,0.0000,0.0000,0.0
GOODBANK,PLLG,LG MED SCORE,IH-TSA LG,01/12/2022,0.0931,0.3450,7.7
GOODBANK,PLLG,LG MED SCORE,IH-TSA LG,01/01/2023,0.0673,0.3096,7.2
GOODBANK,PLLG,LG MED SCORE,IH-TSA LG,01/02/2023,0.0640,0.3046,14.7
GOODBANK,PLLG,LG MED SCORE,IH-TSA LG,01/03/2023,0.0738,0.3191,17.6
GOODBANK,PLLG,LG MED SCORE,IH-TSA LG,01/04/2023,0.0559,0.2790,18.4
GOODBANK,PLLG,LG MED SCORE,IH-TSA LG,01/05/2023,0.0520,0.2693,15.9
GOODBANK,PLLG,ZALO HIGH SCORE,IH-TSA LG,01/12/2022,0.0369,0.2232,23.9
GOODBANK,PLLG,ZALO HIGH SCORE,IH-TSA LG,01/01/2023,0.0225,0.1777,13.2
GOODBANK,PLLG,ZALO HIGH SCORE,IH-TSA LG,01/02/2023,0.0465,0.2584,25.0
GOODBANK,PLLG,ZALO HIGH SCORE,IH-TSA LG,01/03/2023,0.0425,0.2408,19.4
GOODBANK,PLLG,ZALO HIGH SCORE,IH-TSA LG,01/04/2023,0.0094,0.1035,2.8
GOODBANK,PLLG,ZALO LOW SCORE,IH-TSA LG,01/12/2022,0.0000,0.0000,0.0
GOODBANK,PLLG,ZALO LOW SCORE,IH-TSA LG,01/03/2023,0.0123,0.1332,0.8
GOODBANK,PLLG,ZALO LOW SCORE,IH-TSA LG,01/04/2023,0.0780,0.3247,1.6
GOODBANK,PLLG,ZALO MED SCORE,IH-TSA LG,01/12/2022,0.0750,0.3208,17.6
GOODBANK,PLLG,ZALO MED SCORE,IH-TSA LG,01/01/2023,0.0668,0.3089,11.5
